"Player 1","Player 2","Result"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Lose"
"Maafff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Draw"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Lose"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Win"
"Maafff","Mahfff","Win"
"Mahfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Win"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Win"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Win"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Win"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Win"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Win"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Lose"
"Maafff","Mamfff","Lose"
"Mamfff","Maafff","Win"
